Anoectochilus formosanus
Aranda deborah
Brassavola nodosa
Cleisostoma racemiferum
Cymbidium ensifolium
Cymbidium faberi
Cymbidium goeringii
Dendrobium crumenatum
Dendrobium devonianum
Dendrobium grex Madame Thong-In
Dendrobium hybrid
Dendrobium moniliforme
Dendrobium nobile
Dendrobium thyrsiflorum
Epipactis palustris
Erycina pusilla
Galeola falconeri
Gongora galeata
Habenaria petelotii
Habenaria radiata
Liparis distans
Ludisia discolor
Oncidium Gower-Ramsey
Orchis italica
Paphiopedilum concolor
Phaius tancarvilleae
Phalaenopsis amabilis
Phalaenopsis equestris
Phragmipedium longifolium
Sedirea japonica
Spiranthes odorata
Vanilla planifolia
