ID	naam image	Genus	species (& subtaxa)	O(rchid. Cat.) nr.	land van herkomst	locatie	cultuur	veldcollectie	bijzonderheden	dag/maand	jaar	foto gemaakt door	afgebeeld	overige bijzonderheden; (belangrijke) synoniemen
4120		Aspasia	variegata Lindl.	"4118, 4119, 4120"	[Brazilië; Rondônia]		Botanische Tuinen Universiteit Utrecht 00ZW10814 ['86]	[P.J.M. & H. Maas 396]		2-Jan	1974	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
5027		Chamelophyton	kegelii (Rchb.f.) Garay	"5025, 5026, 5027, 5028"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		28/06	1975	L.Y.Th. Westra	"hab1, 3x det1"	Pleurothallis hexandra Garay & Dunst.
5028		Chamelophyton	kegelii (Rchb.f.) Garay	"5025, 5026, 5027, 5028"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		28/06	1975	L.Y.Th. Westra	"hab1, 3x det1"	Pleurothallis hexandra Garay & Dunst.
1490		Dactylorhiza	maculata (L.) So¢	"1479, 1490"			Sandwijck De Bilt 8693			6-Dec	1969	L.Y.Th. Westra	"hab1, det1"
3598		Dendrobium	kingianum Bidwill var. kingianum	"3598, 3599, 3600"			Botanische Tuinen Universiteit Utrecht 00ZW11004			17/03	1973	L.Y.Th. Westra	"hab1, 2x det1"	"det var.: Catalogus BTU 1992, voorheen als var. pulcherrimum Rupp"
1031		Dichaea	ciliolata Rolfe	"1031, 1032, 1033, 1034"	[Costa Rica]		Cantonspark Baarn 10059	[P. Grijpma]		7-Aug	1967	L.Y.Th. Westra	"hab1, 3x det1, ddetp"
1032		Dichaea	ciliolata Rolfe	"1031, 1032, 1033, 1034"	[Costa Rica]		Cantonspark Baarn 10059	[P. Grijpma]		7-Aug	1967	L.Y.Th. Westra	"hab1, 3x det1, ddetp"
9412		Dracula		"9410, 9411, 9412"			"J.M. Wubben, Hollandsche Rading"			5-Jul	1983	L.Y.Th. Westra	"hab1, det1, ddet1"	Masdevallia
2267		Dracula	bella (Rchb.f.) Luer	"2267, 2268, 2269"			Botanische Tuinen Universiteit Utrecht 00ZW10522			24/03	1971	L.Y.Th. Westra & A. Kuiper	"hab1, det1, ddet1"	Masdevallia bella Rchb.f.
2268		Dracula	bella (Rchb.f.) Luer	"2267, 2268, 2269"			Botanische Tuinen Universiteit Utrecht 00ZW10522			24/03	1971	L.Y.Th. Westra & A. Kuiper	"hab1, det1, ddet1"	Masdevallia bella Rchb.f.
2269		Dracula	bella (Rchb.f.) Luer	"2267, 2268, 2269"			Botanische Tuinen Universiteit Utrecht 00ZW10522			24/03	1971	L.Y.Th. Westra & A. Kuiper	"hab1, det1, ddet1"	Masdevallia bella Rchb.f.
9427		Dracula	chestertonii (Rchb.f.) Luer	"9424, 9425, 9426, 9427"			"J.M. Wubben, Hollandsche Rading"			14/05	1983	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	Masdevallia chestertonii Rchb.f.
3674		Dracula	chimaera (Rchb.f.) Luer	"3674, 3675, 3676"			Cantonspark Baarn 11017			5-Jul	1973	L.Y.Th. Westra & A. Kuiper	"hab1, det1, ddet1"	Masdevallia chimaera Rchb.f.
3675		Dracula	chimaera (Rchb.f.) Luer	"3674, 3675, 3676"			Cantonspark Baarn 11017			5-Jul	1973	L.Y.Th. Westra & A. Kuiper	"hab1, det1, ddet1"	Masdevallia chimaera Rchb.f.
3676		Dracula	chimaera (Rchb.f.) Luer	"3674, 3675, 3676"			Cantonspark Baarn 11017			5-Jul	1973	L.Y.Th. Westra & A. Kuiper	"hab1, det1, ddet1"	Masdevallia chimaera Rchb.f.
4564		Dracula	erythrochaete (Rchb.f.) Luer	"4564, 4565, 4566, 4567"			"W. Ballizani, Naarden"			17/08	1974	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	Masdevallia erythrochaete Rchb.f.
4565		Dracula	erythrochaete (Rchb.f.) Luer	"4564, 4565, 4566, 4567"			"W. Ballizani, Naarden"			17/08	1974	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	Masdevallia erythrochaete Rchb.f.
4566		Dracula	erythrochaete (Rchb.f.) Luer	"4564, 4565, 4566, 4567"			"W. Ballizani, Naarden"			17/08	1974	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	Masdevallia erythrochaete Rchb.f.
4567		Dracula	erythrochaete (Rchb.f.) Luer	"4564, 4565, 4566, 4567"			"W. Ballizani, Naarden"			17/08	1974	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	Masdevallia erythrochaete Rchb.f.
9148		Dracula	gorgona (Veitch) Luer & Escobar	"9147, 9148, 9149, 9150"			"J.M. Wubben, Hollandsche Rading"			19/06	1982	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	Masdevallia chimaera Rchb.f. var. gorgona Veitch
9149		Dracula	gorgona (Veitch) Luer & Escobar	"9147, 9148, 9149, 9150"			"J.M. Wubben, Hollandsche Rading"			19/06	1982	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	Masdevallia chimaera Rchb.f. var. gorgona Veitch
2310		Dryadella	edwallii (Cogn.) Luer	"2310, 2311, 2312"			"J.M. Wubben, Hollandsche Rading"			4-Nov	1971	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia edwallii Cogn.
2311		Dryadella	edwallii (Cogn.) Luer	"2310, 2311, 2312"			"J.M. Wubben, Hollandsche Rading"			4-Nov	1971	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia edwallii Cogn.
2312		Dryadella	edwallii (Cogn.) Luer	"2310, 2311, 2312"			"J.M. Wubben, Hollandsche Rading"			4-Nov	1971	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia edwallii Cogn.
1557		Dryadella	lilliputana (Cogn.) Luer	"1557, 1558, 1559, 1560"			Cantonspark Baarn 10013		labellum I/II	27/08	1969	L.Y.Th. Westra	"hab1, 3x det1"	Masdevallia lilliputana Cogn.
1558		Dryadella	lilliputana (Cogn.) Luer	"1557, 1558, 1559, 1560"			Cantonspark Baarn 10013		labellum I/II	27/08	1969	L.Y.Th. Westra	"hab1, 3x det1"	Masdevallia lilliputana Cogn.
1559		Dryadella	lilliputana (Cogn.) Luer	"1557, 1558, 1559, 1560"			Cantonspark Baarn 10013		labellum I/II	27/08	1969	L.Y.Th. Westra	"hab1, 3x det1"	Masdevallia lilliputana Cogn.
1560		Dryadella	lilliputana (Cogn.) Luer	"1557, 1558, 1559, 1560"			Cantonspark Baarn 10013		labellum I/II	27/08	1969	L.Y.Th. Westra	"hab1, 3x det1"	Masdevallia lilliputana Cogn.
1132		Dryadella	obrieniana (Rolfe) Luer	"1131, 1132, 1133"			"M.A. de Rico Consuelo-Knoppe, Driebergen ? of J.M. Wubben, Hollandsche Rading"			2-Jul	1968	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia obrieniana Rolfe
1133		Dryadella	obrieniana (Rolfe) Luer	"1131, 1132, 1133"			"M.A. de Rico Consuelo-Knoppe, Driebergen ? of J.M. Wubben, Hollandsche Rading"			2-Jul	1968	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia obrieniana Rolfe
2313		Dryadella	simula (Rchb.f.) Luer	"2313, 2314, 2315"			"J.M. Wubben, Hollandsche Rading"			4-Nov	1971	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia simula Rchb.f.
2314		Dryadella	simula (Rchb.f.) Luer	"2313, 2314, 2315"			"J.M. Wubben, Hollandsche Rading"			4-Nov	1971	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia simula Rchb.f.
2315		Dryadella	simula (Rchb.f.) Luer	"2313, 2314, 2315"			"J.M. Wubben, Hollandsche Rading"			4-Nov	1971	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia simula Rchb.f.
6578		Dryadella	simula (Rchb.f.) Luer	"6578, 6579, 6580"			"J.M. Wubben, Hollandsche Rading"			11-Dec	1977	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia simula Rchb.f.
6579		Dryadella	simula (Rchb.f.) Luer	"6578, 6579, 6580"			"J.M. Wubben, Hollandsche Rading"			11-Dec	1977	L.Y.Th. Westra	"hab1, 2x det1"	Masdevallia simula Rchb.f.
1309		Epidendrum	coriifolium Lindl.	"1309, 1310, 1311"	[Costa Rica]		Botanische Tuinen Universiteit Utrecht 00ZW10264	[P. Grijpma]		8-Jul	1968	L.Y.Th. Westra	"hab1, 2 det1"
1310		Epidendrum	coriifolium Lindl.	"1309, 1310, 1311"	[Costa Rica]		Botanische Tuinen Universiteit Utrecht 00ZW10264	[P. Grijpma]		8-Jul	1968	L.Y.Th. Westra	"hab1, 2 det1"
6868		Epidendrum	nutans Sw.	"6966, 6967, 6868, 6969"			[priv‚ coll.]			27/05	1978	L.Y.Th. Westra	"2x hab1, 2x det1"
1022		Lepanthes		"1022, 1023, 1024"	[Costa Rica]		Cantonspark Baarn 10025	[P. Grijpma]		7-Jan	1967	L.Y.Th. Westra	"hab1, 2x det1"
1023		Lepanthes		"1022, 1023, 1024"	[Costa Rica]		Cantonspark Baarn 10025	[P. Grijpma]		7-Jan	1967	L.Y.Th. Westra	"hab1, 2x det1"
1024		Lepanthes		"1022, 1023, 1024"	[Costa Rica]		Cantonspark Baarn 10025	[P. Grijpma]		7-Jan	1967	L.Y.Th. Westra	"hab1, 2x det1"
1028		Lepanthes		"1028, 1029, 1030"	[Costa Rica]		Cantonspark Baarn 10055	[P. Grijpma]		7-Mar	1967	L.Y.Th. Westra	"hab1, 2x det1"
1029		Lepanthes		"1028, 1029, 1030"	[Costa Rica]		Cantonspark Baarn 10055	[P. Grijpma]		7-Mar	1967	L.Y.Th. Westra	"hab1, 2x det1"
1030		Lepanthes		"1028, 1029, 1030"	[Costa Rica]		Cantonspark Baarn 10055	[P. Grijpma]		7-Mar	1967	L.Y.Th. Westra	"hab1, 2x det1"
1062		Lepanthes		"1062, 1063, 1064"	[Costa Rica]		Cantonspark Baarn 10027			22/09	1967	L.Y.Th. Westra	"hab1, 2x det1"
1063		Lepanthes		"1062, 1063, 1064"	[Costa Rica]		Cantonspark Baarn 10027			22/09	1967	L.Y.Th. Westra	"hab1, 2x det1"
1064		Lepanthes		"1062, 1063, 1064"	[Costa Rica]		Cantonspark Baarn 10027			22/09	1967	L.Y.Th. Westra	"hab1, 2x det1"
4672		Lepanthes		"4672, 4673, 4674"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/11	1974	L.Y.Th. Westra	"hab1, 2x det1"
4673		Lepanthes		"4672, 4673, 4674"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/11	1974	L.Y.Th. Westra	"hab1, 2x det1"
4674		Lepanthes		"4672, 4673, 4674"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/11	1974	L.Y.Th. Westra	"hab1, 2x det1"
5341		Lepanthes		"5341, 5342, 5343"	[Peru]		"J.M. Wubben, Hollandsche Rading"			1-Oct	1976	L.Y.Th. Westra	"hab1, 2x det1"
5342		Lepanthes		"5341, 5342, 5343"	[Peru]		"J.M. Wubben, Hollandsche Rading"			1-Oct	1976	L.Y.Th. Westra	"hab1, 2x det1"
5343		Lepanthes		"5341, 5342, 5343"	[Peru]		"J.M. Wubben, Hollandsche Rading"			1-Oct	1976	L.Y.Th. Westra	"hab1, 2x det1"
5515		Lepanthes		"5515, 5516, 5517"	[Peru]		"J.M. Wubben, Hollandsche Rading"			4-Mar	1976	L.Y.Th. Westra	"hab1, 2x det1"
5516		Lepanthes		"5515, 5516, 5517"	[Peru]		"J.M. Wubben, Hollandsche Rading"			4-Mar	1976	L.Y.Th. Westra	"hab1, 2x det1"
5517		Lepanthes		"5515, 5516, 5517"	[Peru]		"J.M. Wubben, Hollandsche Rading"			4-Mar	1976	L.Y.Th. Westra	"hab1, 2x det1"
6670		Lepanthes		"6670, 6671, 6672"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		21/01	1978	L.Y.Th. Westra	"hab1, 2x det1"
6672		Lepanthes		"6670, 6671, 6672"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		21/01	1978	L.Y.Th. Westra	"hab1, 2x det1"
6887		Lepanthes		"6887, 6888, 6889"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/04	1978	L.Y.Th. Westra	"hab1, 2x det1"
6888		Lepanthes		"6887, 6888, 6889"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/04	1978	L.Y.Th. Westra	"hab1, 2x det1"
6983		Lepanthes		"6983, 6984, 6985"			"J.M. Wubben, Hollandsche Rading"			6-Oct	1978	L.Y.Th. Westra	"hab1, 2x det1"
6985		Lepanthes		"6983, 6984, 6985"			"J.M. Wubben, Hollandsche Rading"			6-Oct	1978	L.Y.Th. Westra	"hab1, 2x det1"
8222		Lepanthes		"8222, 8223, 8224"	[Colombia]		Botanische Tuinen Universiteit Utrecht 00ZW11756 ['86]	[A.M. Cleef]		10-Feb	1980	L.Y.Th. Westra	"hab1, 2x det1"
8223		Lepanthes		"8222, 8223, 8224"	[Colombia]		Botanische Tuinen Universiteit Utrecht 00ZW11756 ['86]	[A.M. Cleef]		10-Feb	1980	L.Y.Th. Westra	"hab1, 2x det1"
9277		Lepanthes		"9277, 9278, 9279, 9280"	[Jamaica]		"J.M. Wubben, Hollandsche Rading"			11-Jun	1982	L.Y.Th. Westra	"hab1, dhab1, 2x det1"
9279		Lepanthes		"9277, 9278, 9279, 9280"	[Jamaica]		"J.M. Wubben, Hollandsche Rading"			11-Jun	1982	L.Y.Th. Westra	"hab1, dhab1, 2x det1"
1019		Lepanthes	rotundifolia L.O.Williams	"1018, 1019, 1020, 1021"	[Costa Rica]		Cantonspark Baarn 10026	[P. Grijpma]		7-Jan	1967	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	niet geverifieerd
1020		Lepanthes	rotundifolia L.O.Williams	"1018, 1019, 1020, 1021"	[Costa Rica]		Cantonspark Baarn 10026	[P. Grijpma]		7-Jan	1967	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	niet geverifieerd
1021		Lepanthes	rotundifolia L.O.Williams	"1018, 1019, 1020, 1021"	[Costa Rica]		Cantonspark Baarn 10026	[P. Grijpma]		7-Jan	1967	L.Y.Th. Westra	"hab1, 2x det1, ddet1"	niet geverifieerd
5776		Lepanthes	wageneri Rchb.f.	"5776, 5777, 5778, 5779"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		9-Nov	1976	L.Y.Th. Westra	"hab1,  dhab1, 2x det1"
5777		Lepanthes	wageneri Rchb.f.	"5776, 5777, 5778, 5779"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		9-Nov	1976	L.Y.Th. Westra	"hab1,  dhab1, 2x det1"
5778		Lepanthes	wageneri Rchb.f.	"5776, 5777, 5778, 5779"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		9-Nov	1976	L.Y.Th. Westra	"hab1,  dhab1, 2x det1"
6498		Lepanthopsis	floripecten (Rchb.f.) Ames	"6498, 6499, 6500"			"J.M. Wubben, Hollandsche Rading"			25/09	1977	L.Y.Th. Westra	"hab1, 2x det1"
6499		Lepanthopsis	floripecten (Rchb.f.) Ames	"6498, 6499, 6500"			"J.M. Wubben, Hollandsche Rading"			25/09	1977	L.Y.Th. Westra	"hab1, 2x det1"
1390		Macradenia	lutescens R.Br.	"1389, 1390, 1391, 1392"			Cantonspark Baarn 9860			13/12	1968	L.Y.Th. Westra	"hab1, 3x det1"
1391		Macradenia	lutescens R.Br.	"1389, 1390, 1391, 1392"			Cantonspark Baarn 9860			13/12	1968	L.Y.Th. Westra	"hab1, 3x det1"
2110		Masdevallia		"2110, 2111, 2112, 2113"			"J.M. Wubben, Hollandsche Rading"			21/11	1970	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
2111		Masdevallia		"2110, 2111, 2112, 2113"			"J.M. Wubben, Hollandsche Rading"			21/11	1970	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
2112		Masdevallia		"2110, 2111, 2112, 2113"			"J.M. Wubben, Hollandsche Rading"			21/11	1970	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
2113		Masdevallia		"2110, 2111, 2112, 2113"			"J.M. Wubben, Hollandsche Rading"			21/11	1970	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
5083		Masdevallia		"5083, 5084, 5085"			"W. Ballizani, Naarden"			19/07	1975	L.Y.Th. Westra	"hab1, det1, ddet1"
5084		Masdevallia		"5083, 5084, 5085"			"W. Ballizani, Naarden"			19/07	1975	L.Y.Th. Westra	"hab1, det1, ddet1"
5085		Masdevallia		"5083, 5084, 5085"			"W. Ballizani, Naarden"			19/07	1975	L.Y.Th. Westra	"hab1, det1, ddet1"
6360		Masdevallia		"6360, 6361, 6362, 6363"			"J.M. Wubben, Hollandsche Rading"			7-Sep	1977	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6361		Masdevallia		"6360, 6361, 6362, 6363"			"J.M. Wubben, Hollandsche Rading"			7-Sep	1977	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6362		Masdevallia		"6360, 6361, 6362, 6363"			"J.M. Wubben, Hollandsche Rading"			7-Sep	1977	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6823		Masdevallia		"6823, 6824, 6825, 6826"	[Peru]		"J.M. Wubben, Hollandsche Rading"			25/03	1978	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6825		Masdevallia		"6823, 6824, 6825, 6826"	[Peru]		"J.M. Wubben, Hollandsche Rading"			25/03	1978	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6826		Masdevallia		"6823, 6824, 6825, 6826"	[Peru]		"J.M. Wubben, Hollandsche Rading"			25/03	1978	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
6933		Masdevallia		"6933, 6934, 6935, 6936"			"J.M. Wubben, Hollandsche Rading"			13/05	1978	L.Y.Th. Westra	"hab1, 3x det1"
6936		Masdevallia		"6933, 6934, 6935, 6936"			"J.M. Wubben, Hollandsche Rading"			13/05	1978	L.Y.Th. Westra	"hab1, 3x det1"
7033		Masdevallia		"7033, 7034, 7035, 7036"			"Chr. Branger, Lunteren"			7-Aug	1978	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
7035		Masdevallia		"7033, 7034, 7035, 7036"			"Chr. Branger, Lunteren"			7-Aug	1978	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8211		Masdevallia		"8211, 8212, 8213, 8214"			"J.M. Wubben, Hollandsche Rading"			27/09	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8212		Masdevallia		"8211, 8212, 8213, 8214"			"J.M. Wubben, Hollandsche Rading"			27/09	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8301		Masdevallia		"8301, 8302, 8303, 8304"			[priv‚ coll.]			12-May	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8303		Masdevallia		"8301, 8302, 8303, 8304"			[priv‚ coll.]			12-May	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8355		Masdevallia		"8355, 8356, 8357, 8358"			"J.M. Wubben, Hollandsche Rading"			20/12	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8356		Masdevallia		"8355, 8356, 8357, 8358"			"J.M. Wubben, Hollandsche Rading"			20/12	1980	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8549		Masdevallia		"8549, 8550, 8551, 8552"			"J.M. Wubben, Hollandsche Rading"			5-Feb	1981	L.Y.Th. Westra	"hab1, 3x det1"
8551		Masdevallia		"8549, 8550, 8551, 8552"			"J.M. Wubben, Hollandsche Rading"			5-Feb	1981	L.Y.Th. Westra	"hab1, 3x det1"
8585		Masdevallia		"8585, 8586, 8587, 8588"			"J.M. Wubben, Hollandsche Rading"			5-Sep	1981	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
8586		Masdevallia		"8585, 8586, 8587, 8588"			"J.M. Wubben, Hollandsche Rading"			5-Sep	1981	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
9074		Masdevallia		"9074, 9075, 9076"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"			24/04	1982	L.Y.Th. Westra	"hab1, 2x det1"
9075		Masdevallia		"9074, 9075, 9076"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"			24/04	1982	L.Y.Th. Westra	"hab1, 2x det1"
9076		Masdevallia		"9074, 9075, 9076"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"			24/04	1982	L.Y.Th. Westra	"hab1, 2x det1"
9094		Masdevallia		"9094, 9095, 9096, 9097"			"J.M. Wubben, Hollandsche Rading"			01+02/05	1982	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
9095		Masdevallia		"9094, 9095, 9096, 9097"			"J.M. Wubben, Hollandsche Rading"			01+02/05	1982	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
9125		Masdevallia		"9125, 9126, 9127, 9128"			"J.M. Wubben, Hollandsche Rading"			29/05	1982	L.Y.Th. Westra	"hab1, 3x det1"
9126		Masdevallia		"9125, 9126, 9127, 9128"			"J.M. Wubben, Hollandsche Rading"			29/05	1982	L.Y.Th. Westra	"hab1, 3x det1"
9332		Masdevallia		"9331, 9332, 9333, 9334"	[Ecuador]		"J.M. Wubben, Hollandsche Rading"			22/01	1983	L.Y.Th. Westra	"hab1, 3x det1"
4082		Masdevallia	amanda Rchb.f. & Warsz.	"4082, 4083, 4084"			Botanische Tuinen Universiteit Utrecht 00ZW11016			12-Jun	1973	L.Y.Th. Westra	"hab1, 2x det1"
4084		Masdevallia	amanda Rchb.f. & Warsz.	"4082, 4083, 4084"			Botanische Tuinen Universiteit Utrecht 00ZW11016			12-Jun	1973	L.Y.Th. Westra	"hab1, 2x det1"
8297		Masdevallia	angulifera Rchb.f.	"8297, 8298, 8299, 8300"			"J.M. Wubben, Hollandsche Rading"			22/11	1980	L.Y.Th. Westra	"hab1, 3x det1"
8298		Masdevallia	angulifera Rchb.f.	"8297, 8298, 8299, 8300"			"J.M. Wubben, Hollandsche Rading"			22/11	1980	L.Y.Th. Westra	"hab1, 3x det1"
8299		Masdevallia	angulifera Rchb.f.	"8297, 8298, 8299, 8300"			"J.M. Wubben, Hollandsche Rading"			22/11	1980	L.Y.Th. Westra	"hab1, 3x det1"
3134		Masdevallia	bicolor Poepp. & Endl.	"3134, 3135, 3136, 3137"			"J.M. Wubben, Hollandsche Rading"			22/07	1972	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
3135		Masdevallia	bicolor Poepp. & Endl.	"3134, 3135, 3136, 3137"			"J.M. Wubben, Hollandsche Rading"			22/07	1972	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
3136		Masdevallia	bicolor Poepp. & Endl.	"3134, 3135, 3136, 3137"			"J.M. Wubben, Hollandsche Rading"			22/07	1972	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
3137		Masdevallia	bicolor Poepp. & Endl.	"3134, 3135, 3136, 3137"			"J.M. Wubben, Hollandsche Rading"			22/07	1972	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
2790		Masdevallia	caesia Roezl	"2790, 2791, 2792, 2793, 2794, 2795"	[Colombia]		"J.M. Wubben, Hollandsche Rading"			26/02	1972	L.Y.Th. Westra	"hab1, 3x det1, 2x ddet1"	Masdevallia deorsa Rolfe
2791		Masdevallia	caesia Roezl	"2790, 2791, 2792, 2793, 2794, 2795"	[Colombia]		"J.M. Wubben, Hollandsche Rading"			26/02	1972	L.Y.Th. Westra	"hab1, 3x det1, 2x ddet1"	Masdevallia deorsa Rolfe
2792		Masdevallia	caesia Roezl	"2790, 2791, 2792, 2793, 2794, 2795"	[Colombia]		"J.M. Wubben, Hollandsche Rading"			26/02	1972	L.Y.Th. Westra	"hab1, 3x det1, 2x ddet1"	Masdevallia deorsa Rolfe
2793		Masdevallia	caesia Roezl	"2790, 2791, 2792, 2793, 2794, 2795"	[Colombia]		"J.M. Wubben, Hollandsche Rading"			26/02	1972	L.Y.Th. Westra	"hab1, 3x det1, 2x ddet1"	Masdevallia deorsa Rolfe
