ID	naam image	Genus	species (& subtaxa)	O(rchid. Cat.) nr.	land van herkomst	locatie	cultuur	veldcollectie	bijzonderheden	dag/maand	jaar	foto gemaakt door	afgebeeld	overige bijzonderheden; (belangrijke) synoniemen
4120		Aspasia	variegata Lindl.	"4118, 4119, 4120"	[Brazilië; Rondônia]		Botanische Tuinen Universiteit Utrecht 00ZW10814 ['86]	[P.J.M. & H. Maas 396]		2-Jan	1974	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
4187		Barbosella		"4187, 4188, 4189, 4190"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			2-Feb	1974	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
4188		Barbosella		"4187, 4188, 4189, 4190"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			2-Feb	1974	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
4190		Barbosella		"4187, 4188, 4189, 4190"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			2-Feb	1974	L.Y.Th. Westra	"hab1, 2x det1, ddet1"
3641		Barbosella	cucullata (Lindl.) Schltr.	"3641, 3642, 3643"			Cantonspark Baarn 11020			16/04	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
3642		Barbosella	cucullata (Lindl.) Schltr.	"3641, 3642, 3643"			Cantonspark Baarn 11020			16/04	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
3643		Barbosella	cucullata (Lindl.) Schltr.	"3641, 3642, 3643"			Cantonspark Baarn 11020			16/04	1973	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
2575		Barbosella	handroi Hoehne	"2575, 2576, 2577; 7047, 7048, 7049, 7050"			"J.M. Wubben, Hollandsche Rading"			16/10; 15/07	1971; 1978	L.Y.Th. Westra	"hab1, 2x det1; hab1, 2x det1, ddet1"
2576		Barbosella	handroi Hoehne	"2575, 2576, 2577; 7047, 7048, 7049, 7050"			"J.M. Wubben, Hollandsche Rading"			16/10; 15/07	1971; 1978	L.Y.Th. Westra	"hab1, 2x det1; hab1, 2x det1, ddet1"
2577		Barbosella	handroi Hoehne	"2575, 2576, 2577; 7047, 7048, 7049, 7050"			"J.M. Wubben, Hollandsche Rading"			16/10; 15/07	1971; 1978	L.Y.Th. Westra	"hab1, 2x det1; hab1, 2x det1, ddet1"
7276		Bulbophyllum	mysorense (Rolfe) J.J.Sm.	"5226, 5227, 5228; 7275, 7276, 7277"			"J.M. Wubben, Hollandsche Rading"			01/11; 23/12	1975; 1978	L.Y.Th. Westra	"hab1, 2x det1; hab1, 2x det1"
7277		Bulbophyllum	mysorense (Rolfe) J.J.Sm.	"5226, 5227, 5228; 7275, 7276, 7277"			"J.M. Wubben, Hollandsche Rading"			01/11; 23/12	1975; 1978	L.Y.Th. Westra	"hab1, 2x det1; hab1, 2x det1"
5025		Chamelophyton	kegelii (Rchb.f.) Garay	"5025, 5026, 5027, 5028"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		28/06	1975	L.Y.Th. Westra	"hab1, 3x det1"	Pleurothallis hexandra Garay & Dunst.
5026		Chamelophyton	kegelii (Rchb.f.) Garay	"5025, 5026, 5027, 5028"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		28/06	1975	L.Y.Th. Westra	"hab1, 3x det1"	Pleurothallis hexandra Garay & Dunst.
